what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444870322101
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870367517
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870367871
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870370001
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870394345
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1444870394393
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444870416712
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870424185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870458025
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444870469506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870479060
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870479216
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1444870492434
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1444870493281
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444870503398
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444870504695
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870509984
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444870547494
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1444870547541
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444870633457
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444870643000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1444870648194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444870651149
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1444870659767
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1444870660002
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1444870663247
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1444870663747
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1444870663778
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1444870663809
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1444870663841
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1444870663872
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1444870663903
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1444870663934
