what,kind,bundleId,bundleVersion,description,time
error,log,,,"An internal error occurred during: ""Launching Annotation1, ..."".",1444949777212
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949777259
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949787998
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1444949789109
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444949789124
executed,command,org.testng.eclipse,6.9.8.201510130443,"org.testng.eclipse.shortcut.run",1444949793969
error,log,,,"An internal error occurred during: ""Launching Anotation2"".",1444949794016
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949794047
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949795439
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1444949799111
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1444949799143
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1444949799174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949805237
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949806597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949820381
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949838603
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1444949842900
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1444949842978
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444949844369
executed,command,org.testng.eclipse,6.9.8.201510130443,"org.testng.eclipse.shortcut.run",1444949847776
error,log,,,"An internal error occurred during: ""Launching Anotation2"".",1444949847791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949847823
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949852011
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949857731
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949875876
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.newWizard",1444949875908
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1444949877986
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949884644
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949887067
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1444949887192
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1444949887661
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949893037
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949922542
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1444949926137
started,bundle,org.eclipse.wst.ws.service.policy,1.0.203.v201004211732,"org.eclipse.wst.ws.service.policy",1444949926137
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1444949926168
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1444949926168
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1444949926215
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1444949926230
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949929746
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949939951
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1444949939982
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949962176
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444949966977
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1444949968450
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1444949968516
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1444949968546
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1444949968546
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1444949968601
