what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856673723
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1444856681522
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444856683335
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444856684179
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856694877
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856694922
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856698671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856710353
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1444856713377
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444856715715
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444856719622
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856728292
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856729495
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856730092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856743817
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1444856749957
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856753416
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856756495
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444856756571
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444856765897
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856776109
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856776146
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856779921
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856785287
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1444856785324
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856800550
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444856816776
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444856818902
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1444856921615
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1444856921911
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1444856924771
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1444856927944
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444856936093
