what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1444922215460
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1444922215460
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1444922215460
java.vm.specification.version,sysinfo,,,"1.7",1444922215460
java.vm.vendor,sysinfo,,,"Oracle Corporation",1444922215460
java.vm.version,sysinfo,,,"24.65-b04",1444922215460
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1444922241671
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444922244730
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1444922256476
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1444922260774
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922262035
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922295556
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922298855
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922394853
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922398738
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922450774
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444922468046
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444922468265
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444922482378
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444922482393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922485148
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922521597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922522634
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922822797
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922823828
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922840359
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1444922842250
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1444922844329
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922848194
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922871348
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922872474
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922874224
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922879881
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1444922893030
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444922893593
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1444922893843
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1444922905254
